Query,Grouped_Intent,answer
can i shift from morning to evening shift?,general_info,Allowed with advisor approval and seat availability.
are lockers sanitized regularly?,general_info,Sanitized weekly by housekeeping staff.
how to request time off for competitions?,general_info,Submit letter from club head to Student Services.
how to request an official university letter?,general_info,Request through Portal → Services → Official Letters.
are face masks mandatory on campus?,general_info,No longer mandatory but encouraged in indoor areas.
are electric scooters allowed on campus?,general_info,Allowed with speed limit of 10 km/h and helmet.
where can i find university policies?,general_info,All policies listed in Student Handbook and LMS.
can i wear jeans in class?,general_info,"Smart casuals allowed; no shorts, slogans, or offensive graphics."
are evening classes available for bs programs?,general_info,"Yes, but only for limited programs like BS IT and BS English."
are there typewriters for rent?,general_info,2 available at Library ($5/hour)
do you sell lab notebooks?,general_info,Bound research notebooks ($8–15)
is there a fax service?,general_info,"Yes, $1/page for domestic faxes"
how do i submit a leave application?,general_info,"Use the student portal to apply for leave under ""Applications""."
where can i collect my graduation robe?,general_info,"Collect it from the Registrar Office, 2nd floor, Block A."
are there any tuition discounts for siblings?,general_info,"Yes, a 15% tuition discount is available for enrolled siblings."
where is the lost and found located?,general_info,"Located at Security Office, Gate 1."
is there any provision for night study halls?,general_info,"Yes, library ground floor remains open till midnight during finals."
where do i find university bus timings?,general_info,Available at transport office or on the university app.
can i audit a class without enrolling?,general_info,"Yes, auditing is allowed with instructor and department permission."
how can i report a lost university id card?,general_info,Report at Student Affairs and apply for a duplicate ID.
how can i request medical accommodation for classes?,general_info,Submit documents to the medical office and student affairs jointly.
what is the university's plagiarism policy?,general_info,Zero tolerance — plagiarism may result in course failure or suspension.
what should i do if i missed my course registration slot?,general_info,Contact academic advisor or department for manual slot.
where can i get university-branded notebooks?,general_info,"Available at the Stationery Shop, Block C."
how are cgpa calculations handled?,general_info,Weighted average of all GPA courses attempted during your degree.
do faculty members have consultation hours?,general_info,"Yes, faculty hours are posted outside their offices and online."
can i visit the lab outside class hours?,general_info,"Yes, but only with lab assistant or supervisor approval."
are food courts open on weekends?,general_info,"Yes, open from 10 AM to 4 PM on Saturdays."
what are the rules for group study rooms?,general_info,"Limit of 6 students per room, booking required via library portal."
where can i find notices about upcoming guest lectures?,general_info,All academic guest lectures are listed on the LMS and department boards.
can i request soft copies of reference books?,general_info,"Yes, email the library or request through the online catalog."
what is the process for getting transcripts sealed?,general_info,Request at registrar with payment receipt; processing takes 2 days.
are yoga sessions conducted on campus?,general_info,"Yes, every Friday at 4 PM in the Wellness Room, Block F."
how do i join the drama society?,general_info,Fill out the form at Club Fair or contact the society president.
is there a lost and found desk?,general_info,Located at the security office near main gate.
is there a university daycare for staff and students?,general_info,"Yes, located behind the Faculty Club, open 8 AM to 6 PM."
can i get an attendance certificate?,general_info,"Yes, request it via the student portal or registrar’s office."
how can i become a teaching assistant?,general_info,Minimum CGPA of 3.5 and application through department portal.
do you sell university merch?,general_info,"Hoodies, mugs, stickers at Stationery Shop"
can i print on specialty paper?,general_info,Resume/Cardstock paper (+$0.75/page)
are there fire drills conducted in hostels?,general_info,"Yes, held once every semester by the Safety Department."
what is the official university email format?,general_info,Firstname.lastname@university.edu.pk
can i store luggage during semester break?,general_info,"Yes, hostel lockers available upon request to warden."
how do i appeal a grading decision?,general_info,File academic appeal within 7 days of result announcement.
are lockers available for rent on campus?,general_info,"Yes, lockers are available in academic blocks through Student Services."
where is the emergency first aid center?,general_info,"Block C, near canteen – open 24/7."
do you sell lab coats?,general_info,Available in sizes S–XXL ($25–35)
how do i request extra classes?,general_info,Request through class rep or email course instructor.
can i get duplicate degree if i lost mine?,general_info,"Yes, apply with FIR and affidavit to the registrar."
do i need approval for research outside university?,general_info,"Yes, apply through Research Office for external fieldwork."
where do i submit my thesis for review?,general_info,"Submit soft copy via LMS, hard copy to your advisor."
what is the process to change section?,general_info,Request must be submitted during Add/Drop week only.
do you provide placement assistance?,general_info,"Yes, through job fairs, CV reviews, and mock interviews."
where is the career placement office?,general_info,"Located on 3rd floor, Block B, near academic offices."
are there art supplies?,general_info,"Basic paints, brushes, canvases available"
is there any attendance app?,general_info,"Yes, integrated with LMS mobile version."
what is the class strength for general electives?,general_info,Generally 25–35 students depending on course.
can i get old university id reactivated?,general_info,"Yes, after approval from Student Affairs and clearance."
is there a whatsapp group for each department?,general_info,Official student forums are maintained on LMS and email.
do you sell sticky notes?,general_info,10 colors/sizes ($1–4 per pack)
is there a binding machine?,general_info,Spiral/comb binding ($3–8 per item)
do i need to wear a lab coat for computing labs?,general_info,"No, lab coats are required only in science labs."
do you sell geometry sets?,general_info,Complete sets for $7
do you sell planners?,general_info,Academic year planners ($10–25)
what file formats are supported?,general_info,"PDF, DOCX, PPTX, JPG, PNG"
do you sell graduation supplies?,general_info,"Caps/gowns, announcements, frames (Feb–May)"
how do i subscribe to university newsletters?,general_info,Sign up via the university website under the News section.
is there a help desk for international students?,general_info,"Yes, located in Block E, International Office reception."
can i attend workshops from other departments?,general_info,"Yes, subject to available seats and instructor permission."
what documents are needed for a character certificate?,general_info,"Copy of CNIC, enrollment certificate, and clearance from hostel/library."
are laminating services available?,general_info,"Yes, $1.50 per sheet (A4–A3)"
how do i check my cgpa?,general_info,Login to portal → Academics → View CGPA.
where can i update my emergency contact?,general_info,Update via the “My Profile” section on the student portal.
what is the cgpa requirement to graduate with honors?,general_info,A CGPA of 3.5 or higher is required to graduate with honors.
can we request campus security escort?,general_info,"Yes, call emergency helpline from 7 PM–10 PM."
what are working hours of admin block?,general_info,9:00 AM to 5:00 PM Monday to Friday.
can i book a tutor through the university during the summer break?,general_info,"Yes, academic tutoring services are often available year-round."
how do i apply for a summer exchange program?,general_info,You can apply through the International Office; forms and requirements are available on the student portal.
can i take online summer courses from another university?,general_info,"Yes, with prior approval from your department and academic advisor."
will summer semester affect my graduation timeline?,general_info,"Yes, it can help you graduate earlier or catch up on missed credits."
how long is each semester at the university?,general_info,Each semester is typically 16 weeks long.
is the university cafeteria open during summer?,general_info,"Yes, but operating hours may be reduced. Check notices for updated timings."
are there any summer bootcamps for coding or ai?,general_info,"Yes, summer bootcamps are offered for topics like data science, coding, and AI."
are career counseling services available in summer?,general_info,"Yes, the Career Services Office operates year-round. Appointments can be booked online."
what happens if i miss a summer class?,general_info,Inform your instructor immediately. Regular absence can affect your grade.
is attendance tracked for online summer classes?,general_info,"Yes, LMS platforms track login time and participation in activities."
can i do research with a faculty member in summer?,general_info,"Yes, you can reach out to faculty members for summer research assistant roles."
is participation in student societies mandatory?,general_info,It is encouraged but not mandatory.
how do i get my transcript updated with summer results?,general_info,Transcripts are updated after the summer result declaration by the registrar's office.
are graduation projects allowed during the summer?,general_info,"Yes, students may work on or register their final year projects in summer."
how do i access summer course materials online?,general_info,Materials are uploaded to the LMS or shared by instructors via email or Google Classroom.
is the it lab open for student use during summer?,general_info,"Yes, the IT labs remain open with limited hours."
can i take skill-based certification courses through the university in summer?,general_info,"Yes, many departments offer short certification courses in tech, languages, and business."
what is the university's dress code policy?,general_info,Students are expected to dress modestly and follow decorum.
are summer internships mandatory for graduation?,general_info,This depends on your program. Some degrees require it; others don’t.
how can i apply for university-sponsored summer internships?,general_info,Apply through your department or career office. Opportunities are posted on student portals.
is there a deadline to submit internship applications for summer?,general_info,"Yes, each internship opportunity has its own application deadline. Check the listings."
can i do a virtual internship during summer and get university credit?,general_info,"Yes, virtual internships are accepted if they meet credit requirements and are approved."
does the university provide a list of companies for internships?,general_info,"Yes, partner companies and internship opportunities are listed on the career portal."
how do i get my summer internship approved by the department?,general_info,Submit the internship proposal form to your department or advisor for review.
are academic workshops held in the summer?,general_info,"Yes, workshops on writing, research, and study skills are often held in summer."
are there paid internships available through the university?,general_info,"Yes, some internships offer stipends or are part of funded programs."
is there any financial aid for unpaid internships?,general_info,Some universities offer stipends or grants for students taking unpaid internships.
are international internships supported by the university during summer?,general_info,"Yes, with advisor and department approval, international internships can be supported."
what is the minimum duration of a summer internship?,general_info,"Usually 4–6 weeks, depending on the course or company requirements."
can i do two internships during one summer?,general_info,"Yes, if both are approved and do not overlap or exceed workload guidelines."
where do i submit my internship evaluation form?,general_info,Submit it to your department’s internship coordinator or upload it via the portal.
will my summer internship show up on my transcript?,general_info,"If registered as a credited course, it will appear on your transcript."
will my summer internship be graded or pass/fail?,general_info,Most internships are graded on a pass/fail basis unless otherwise specified.
will i get a certificate for completing a summer internship?,general_info,"Yes, a completion certificate is issued by the company or department."
can i withdraw from summer semester after registration?,general_info,"Yes, but you must follow the university’s withdrawal policy and deadlines."
is there a different dress code in summer semester?,general_info,"No, the same dress code applies year-round."
how are attendance shortages handled in summer semester?,general_info,Consistent shortage may lead to grade penalties or course failure.
are labs functional for fyp work during summer?,general_info,"Yes, FYP labs may be accessible with supervisor permission."
do we receive email notifications for summer deadlines?,general_info,"Yes, important deadlines and notices are sent via university email."
